home,away,goals_home,goals_away,match_date
Qatar,Ecuador,0,2,2022-11-20T16:00:00+00:00
England,Iran,6,2,2022-11-21T13:00:00+00:00
Senegal,Netherlands,0,2,2022-11-21T16:00:00+00:00
USA,Wales,1,1,2022-11-21T19:00:00+00:00
Argentina,Saudi Arabia,1,2,2022-11-22T10:00:00+00:00
Denmark,Tunisia,0,0,2022-11-22T13:00:00+00:00
Mexico,Poland,0,0,2022-11-22T16:00:00+00:00
France,Australia,4,1,2022-11-22T19:00:00+00:00
Morocco,Croatia,0,0,2022-11-23T10:00:00+00:00
Germany,Japan,1,2,2022-11-23T13:00:00+00:00
Spain,Costa Rica,7,0,2022-11-23T16:00:00+00:00
Belgium,Canada,1,0,2022-11-23T19:00:00+00:00
Switzerland,Cameroon,1,0,2022-11-24T10:00:00+00:00
Uruguay,South Korea,0,0,2022-11-24T13:00:00+00:00
Portugal,Ghana,3,2,2022-11-24T16:00:00+00:00
Brazil,Serbia,2,0,2022-11-24T19:00:00+00:00
Wales,Iran,0,2,2022-11-25T10:00:00+00:00
Qatar,Senegal,1,3,2022-11-25T13:00:00+00:00
Netherlands,Ecuador,1,1,2022-11-25T16:00:00+00:00
England,USA,0,0,2022-11-25T19:00:00+00:00
Tunisia,Australia,0,1,2022-11-26T10:00:00+00:00
Poland,Saudi Arabia,2,0,2022-11-26T13:00:00+00:00
France,Denmark,2,1,2022-11-26T16:00:00+00:00
Argentina,Mexico,2,0,2022-11-26T19:00:00+00:00
Japan,Costa Rica,0,1,2022-11-27T10:00:00+00:00
Belgium,Morocco,0,2,2022-11-27T13:00:00+00:00
Croatia,Canada,4,1,2022-11-27T16:00:00+00:00
Spain,Germany,1,1,2022-11-27T19:00:00+00:00
Cameroon,Serbia,3,3,2022-11-28T10:00:00+00:00
South Korea,Ghana,2,3,2022-11-28T13:00:00+00:00
Brazil,Switzerland,1,0,2022-11-28T16:00:00+00:00
Portugal,Uruguay,2,0,2022-11-28T19:00:00+00:00
Netherlands,Qatar,2,0,2022-11-29T15:00:00+00:00
Ecuador,Senegal,1,2,2022-11-29T15:00:00+00:00
Iran,USA,0,1,2022-11-29T19:00:00+00:00
Wales,England,0,3,2022-11-29T19:00:00+00:00
Australia,Denmark,1,0,2022-11-30T15:00:00+00:00
Tunisia,France,1,0,2022-11-30T15:00:00+00:00
Saudi Arabia,Mexico,1,2,2022-11-30T19:00:00+00:00
Poland,Argentina,0,2,2022-11-30T19:00:00+00:00
Croatia,Belgium,0,0,2022-12-01T15:00:00+00:00
Canada,Morocco,1,2,2022-12-01T15:00:00+00:00
Japan,Spain,2,1,2022-12-01T19:00:00+00:00
Costa Rica,Germany,2,4,2022-12-01T19:00:00+00:00
South Korea,Portugal,2,1,2022-12-02T15:00:00+00:00
Ghana,Uruguay,0,2,2022-12-02T15:00:00+00:00
Serbia,Switzerland,2,3,2022-12-02T19:00:00+00:00
Cameroon,Brazil,1,0,2022-12-02T19:00:00+00:00
Netherlands,USA,3,1,2022-12-03T15:00:00+00:00
Argentina,Australia,2,1,2022-12-03T19:00:00+00:00
France,Poland,3,1,2022-12-04T15:00:00+00:00
England,Senegal,3,0,2022-12-04T19:00:00+00:00
Japan,Croatia,1,1,2022-12-05T15:00:00+00:00
Brazil,South Korea,4,1,2022-12-05T19:00:00+00:00
Morocco,Spain,0,0,2022-12-06T15:00:00+00:00
Portugal,Switzerland,6,1,2022-12-06T19:00:00+00:00
Croatia,Brazil,1,1,2022-12-09T15:00:00+00:00
Netherlands,Argentina,2,2,2022-12-09T19:00:00+00:00
Morocco,Portugal,1,0,2022-12-10T15:00:00+00:00
England,France,1,2,2022-12-10T19:00:00+00:00
Argentina,Croatia,3,0,2022-12-13T19:00:00+00:00
France,Morocco,2,0,2022-12-14T19:00:00+00:00
Croatia,Morocco,2,1,2022-12-17T15:00:00+00:00
Argentina,France,3,3,2022-12-18T15:00:00+00:00
